ClmId,Mbr,Npi,State,Zip,Date,Proc,Dx,Pos,Reas,TotChg,Action
916P669442,318-98-0417,6688807300,PA,19160,9/29/2019,8534,73312,11,PDUP,8593.9,RePend
626B297049,555-40-5790,1852566130,WV,25726,11/15/2019,5284,6851,23,PDOC,4950.85,RePend
422S713257,554-32-3738,8507839894,LA,70810,7/30/2019,9533,E8227,12,PDOC,3707.27,RePend
152O051451,146-93-6031,0609053857,TX,77260,4/26/2019,9042,71619,72,PDUP,7782.39,RePend
497X285466,777-65-2750,7473849240,MI,48107,1/31/2019,9469,36281,31,PDLB,8765.21,RePend
258Z832943,107-10-3069,2964537800,OK,73129,8/24/2019,8709,5216,65,PPJB,5291.65,Release
750T986103,200-76-0101,3924672866,NY,10165,7/1/2019,3954,85225,52,PVIP,1007.47,Release
530Z967065,787-09-3225,3821619172,CA,93591,1/14/2019,3807,37863,31,PCOB,1269.23,Release
729D635815,557-59-2046,3516200852,KS,66105,3/22/2019,0714,34591,65,PVIP,3514.33,Deny
651R300397,692-87-8858,5143671603,AZ,85067,5/27/2019,0699,36089,11,PDLB,769.69,Deny
029J214031,124-94-8899,4671806778,CT,06533,11/13/2019,9105,73345,52,PVIP,3783.51,RePend
229T382479,835-88-9137,2624991837,MD,21239,3/5/2019,8311,1725,65,PDLB,6086.09,Release
254P982678,559-08-1924,6897341488,NY,11241,8/26/2019,6849,56960,17,PAUT,1887.85,Release
560F013562,136-29-8777,9466764959,IN,47712,2/27/2019,7895,29635,65,PPJB,7539.02,MedRev
932Y942085,349-27-4607,3282056864,CT,06854,7/30/2019,8143,2307,65,PPJB,7377.93,Release
185Y141334,526-29-2502,5563117464,DC,20220,5/17/2019,5903,86352,81,PDOK,167.7,Release
303A704379,854-78-4770,2703629271,FL,33625,6/14/2019,8965,317,52,PPJB,5978.1,Deny
719Q277085,839-21-0470,4299960137,KS,66276,6/1/2019,5781,52310,12,PAUT,2267.31,RePend
627U050535,794-18-8235,1138159070,FL,32919,5/10/2019,7321,V9191,31,PDOC,7440.63,MedRev
865B907013,300-45-9084,0406669772,PA,15225,11/24/2019,7822,5951,20,PDUP,4695.19,Deny
894Q027511,208-59-5760,9354230899,OH,45440,10/13/2019,1529,38643,52,PM5R,6914.3,MedRev
655V576160,294-04-7872,6120912714,MD,20851,6/19/2019,8301,V029,12,PAUT,9900.42,MedRev
777K765429,726-70-7904,9998411191,DC,20029,5/22/2019,9608,71197,31,PVIP,6569.9,Deny
883Z749073,562-28-0197,3348370901,SC,29579,11/21/2019,3775,07041,22,PPJB,4721.65,MedRev
261P967415,388-47-1446,7827493264,NC,28235,4/5/2019,2755,8787,22,PDLB,4438.7,Release
757X789512,838-99-0062,8236968152,OH,43666,6/18/2019,7765,53340,20,PDOC,8353.35,Release
587F951193,126-52-5188,4744328907,CA,92186,2/13/2019,6574,94127,12,PM5R,2454.94,MedRev
727V957549,538-32-7792,3763118025,CO,80945,12/16/2019,5192,84510,20,PAUT,6620.34,RePend
274F039073,659-57-0823,4779437013,FL,32314,6/30/2019,9459,9767,31,PDUP,2052.4,MedRev
576G538657,862-48-9806,6022359307,DC,20380,8/6/2019,2252,V813,31,PAUT,296.93,Release
171T051145,705-82-0559,8341726275,WA,98516,2/14/2019,1641,9400,22,PDOK,2260.78,MedRev
